instruction,input,output
แนะนำเมนูสุขภาพแบบไทยประจำวันสำหรับวัยรุ่น 14 - 25 ปี,,"พลังงานที่ได้รับต่อวัน 2,000 แคลอรี่
มื้อเช้า - ข้าวกล้อง ต้มเลือดหมู
มื้อกลางวัน - ข้าวเหนียว ส้มตำ ไก่ย่าง (ไก่ย่างไม่เกิน 3 น่อง)
มื้อเย็น - ข้าวกล้อง น้ำพริกหนุ่ม ปลาทูทอด"
ขอตัวอย่างการคำนวณปริมาณพลังงานอาหาร,"ข้าวมันไก่ ปริมาณ 100 กรัม
ให้พลังงาน 198 Kcal
โปรตีน 6.75 กรัม
ไขมัน 9.25 กรัม","ข้าวมันไก่ 1 จานมีปริมาณ 300 กรัม ดังนั้นจะให้พลังงานรวมทั้งหมด
พลังงาน 198*3 = 594 Kcal
โปรตีน 6.75*3 = 20.25 กรัม
ไขมัน 9.25*3 = 27.75 กรัม"
ตัวอย่างปริมาณพลังงานในอาหารไทยต่อ 100 กรัม ประเภทต้ม,"โปรตีน, ไขมัน","1. ซุปไก่มันฝรั่ง 41 กิโลแคลอรี่ โปรตีน 6.47 กรัม ไขมัน 0.70 กรัม
2. ต้มข่าไก่ 92 กิโลแคลอรี่ โปรตีน 7.80 กรัม ไขมัน 5.89 กรัม
3. ต้มขาหมู 276 กิโลแคลอรี่ โปรตีน 25.80 กรัม ไขมัน 15.40 กรัม
4. ต้มจับฉ่าย 50 กิโลแคลอรี่ โปรตีน 1.85 กรัม ไขมัน 3.40 กรัม
5. ต้มพะโล้ 133 กิโลแคลอรี่ โปรตีน 8.90 กรัม ไขมัน 4.23 กรัม
6. ต้มยำกุ้ง 44 กิโลแคลอรี่ โปรตีน 4.67 กรัม ไขมัน 1.43 กรัม
7. ต้มยำไก่ 41 กิโลแคลอรี่ โปรตีน 8.20 กรัม ไขมัน 0.37 กรัม
8. ต้มเลือดหมู 36 กิโลแคลอรี่ โปรตีน 5.05 กรัม ไขมัน 1.30 กรัม"
ตัวอย่างปริมาณพลังงานในอาหารไทยต่อ 100 กรัม ประเภทผัด,"โปรตีน, ไขมัน","1. กะเพราไก่ 155 กิโลแคลอรี่ โปรตีน 21.94 กรัม ไขมัน 6.72 กรัม
2. ก๋วยเตี๋ยวคั่วไก่ 198 กิโลแคลอรี่ โปรตีน 6.94 กรัม ไขมัน 8.36 กรัม
3. ปลาดุกทอดกรอบผัดเผ็ด 317 กิโลแคลอรี่ โปรตีน 26.85 กรัม ไขมัน 19.27 กรัม
4. ผัดคั่วกลิ้ง 147 กิโลแคลอรี่ โปรตีน 21.72 กรัม ไขมัน 4.63 กรัม
5. ผัดเปรี้ยวหวานไก่ 95 กิโลแคลอรี่ โปรตีน 4.45 กรัม ไขมัน 1.85 กรัม
6. ผัดพริกขิงไก่ใส่ถั่วฝักยาว 130 กิโลแคลอรี่ โปรตีน 10.55 กรัม ไขมัน 7.10 กรัม
7. ลาบไก่ 122 กิโลแคลอรี่ โปรตีน 12.40 กรัม ไขมัน 4.30 กรัม"
ตัวอย่างปริมาณพลังงานในอาหารไทยต่อ 100 กรัม ประเภทแกง,"โปรตีน, ไขมัน","1. แกงเขียวหวานไก่ 101 กิโลแคลอรี่ โปรตีน 7.90 กรัม ไขมัน 6.05 กรัม
2. แกงป่าหมู 47 กิโลแคลอรี่ โปรตีน 5.60 กรัม ไขมัน 0.80 กรัม
3. แกงมัสมั่นไก่ 194 กิโลแคลอรี่ โปรตีน 10.28 กรัม ไขมัน 10.99 กรัม
4. แกงเลียง 30 กิโลแคลอรี่ โปรตีน 1.44 กรัม ไขมัน 0.35 กรัม
5. แกงส้มผักรวม 31 กิโลแคลอรี่ โปรตีน 2.53 กรัม ไขมัน 0.16 กรัม"
ตัวอย่างปริมาณพลังงานในอาหารไทยต่อ 100 กรัม ประเภททอด,"โปรตีน, ไขมัน","1. ไข่เจียว 361 กิโลแคลอรี่ โปรตีน 13.98 กรัม ไขมัน 32.89 กรัม
2. ปลาทูทอด 232 กิโลแคลอรี่ โปรตีน 27.50 กรัม ไขมัน 25.00 กรัม
3. ปลานิลทอด 321 กิโลแคลอรี่ โปรตีน 30.63 กรัม ไขมัน 21.80 กรัม
4. หมูทอด 243 กิโลแคลอรี่ โปรตีน 37.20 กรัม ไขมัน 10.50 กรัม"
ตัวอย่างปริมาณพลังงาน ประเภทอาหารจานเดียว ต่อ 100 กรัม,"โปรตีน, ไขมัน","1. เกาเหลาเนื้อตุ๋น 48 กิโลแคลอรี่ โปรตีน 4.49 กรัม ไขมัน 2.38 กรัม
2. เกาเหลาหมู 32 กิโลแคลอรี่ โปรตีน 3.01 กรัม ไขมัน 1.37 กรัม
3. ขนมจีนแกงเขียวหวานไก่ 112 กิโลแคลอรี่ โปรตีน 4.78 กรัม ไขมัน 5.15 กรัม
4. ข้าวคลุกกะปิ 191 กิโลแคลอรี่ โปรตีน 6.61 กรัม ไขมัน 7.11 กรัม
5. ข้าวต้มหมู 65 กิโลแคลอรี่ โปรตีน 4.19 กรัม ไขมัน 1.09 กรัม
6. ข้าวผัดหมู 144 กิโลแคลอรี่ โปรตีน 5.75 กรัม ไขมัน 6.34 กรัม
7. ข้าวมันไก่ (ต้ม) 198 กิโลแคลอรี่ โปรตีน 6.75 กรัม ไขมัน 9.25 กรัม
8. ข้าวมันไก่ (ทอด) 235 กิโลแคลอรี่ โปรตีน 8.60 กรัม ไขมัน 7.20 กรัม
9. ข้าวหมูแดง 154 กิโลแคลอรี่ โปรตีน 6.29 กรัม ไขมัน 4.18 กรัม
10. เส้นใหญ่ผัดซีอิ๊วหมู 221 กิโลแคลอรี่ โปรตีน 6.83 กรัม ไขมัน 12.32 กรัม
11. เส้นใหญ่ราดหน้าหมู 111 กิโลแคลอรี่ โปรตีน 2.95 กรัม ไขมัน 5.55 กรัม"
ตัวอย่างปริมาณพลังงาน ประเภทผลไม้ ต่อ 100 กรัม,น้ำตาล,"1. กีวี่ 57 กิโลแคลอรี่ น้ำตาล 9.71 กรัม
2. แก้วมังกร 56 กิโลแคลอรี่ น้ำตาล 9.30 กรัม
3. แคนตาลูป 28 กิโลแคลอรี่ น้ำตาล 10.00 กรัม
4. ชมพู่ 42 กิโลแคลอรี่ น้ำตาล 8.37 กรัม
5. แตงโม 37 กิโลแคลอรี่ น้ำตาล 8.15 กรัม
6. ฝรั่ง 39 กิโลแคลอรี่ น้ำตาล 6.23 กรัม
7. มะละกอ 37 กิโลแคลอรี่ น้ำตาล 9.20 กรัม
8. สตรอวร์เบอร์รี่ 33 กิโลแคลอรี่ น้ำตาล 4.03 กรัม
9. สับปะรด 51 กิโลแคลอรี่ น้ำตาล 12.83 กรัม
10. องุ่นเขียว 59 กิโลแคลอรี่ น้ำตาล 13.82 กรัม
11. องุ่นแดง 51 กิโลแคลอรี่ น้ำตาล 11.17 กรัม
12. แอปเปิลแดง 55 กิโลแคลอรี่ น้ำตาล 10.09 กรัม"
ตัวอย่างปริมาณพลังงานของขนมไทย ต่อ 100 กรัม,น้ำตาล,"1. ขนมกล้วย 182 กิโลแคลอรี่ น้ำตาล 26.33 กรัม
2. ขนมชั้น 247 กิโลแคลอรี่ น้ำตาล 30.11 กรัม
3. ขนมต้มจิ้ม 201 กิโลแคลอรี่ น้ำตาล 13.78 กรัม
4. เฉาก๊วย 16 กิโลแคลอรี่
5. ซาหริ่ม 160 กิโลแคลอรี่ 
6. เต้าส่วน 136 กิโลแคลอรี่ น้ำตาล 16.31 กรัม
7. ถั่วเขียวต้มน้ำตาล 114 กิโลแคลอรี่ น้ำตาล 20.83 กรัม
8. ทองหยอด 305 กิโลแคลอรี่ น้ำตาล 56.58 กรัม
9. ทองหยิบ 395 กิโลแคลอรี่ 
10. บัวลอยเผือก 149 กิโลแคลอรี่ 
11. ปลากริม 117 กิโลแคลอรี่ น้ำตาล 9.00 กรัม
12. ฝอยทอง 420 กิโลแคลอรี่ น้ำตาล 41.94 กรัม
13. เม็ดขนุน 351 กิโลแคลอรี่ น้ำตาล 38.25 กรัม
14. ลอดช่องน้ำกะทิ 108 กิโลแคลอรี่ น้ำตาล 12.30 กรัม
15. ลูกชุบ 111 กิโลแคลอรี่
16. ลูกเดือยน้ำกะทิ 141 กิโลแคลอรี่ น้ำตาล 13.55 กรัม
17. วุ้นมะพร้าว 127 กิโลแคลอรี่ น้ำตาล 13.63 กรัม
18. วุ้นลูกตาล 35 กิโลแคลอรี่
19. สาคูถั่วดำ 138 กิโลแคลอรี่ น้ำตาล 13.20 กรัม"
ตัวอย่างปริมาณพลังงานของเบเกอรี่ ต่อ 100 กรัม,"โปรตีน, ไขมัน","1. ครัวซองต์เนยสด 433 กิโลแคลอรี่ โปรตีน 9.40 กรัม ไขมัน 22.85 กรัม
2. แซนวิชทูน่า 283 กิโลแคลอรี่ โปรตีน 11.36 กรัม ไขมัน 12.88 กรัม
3. แซนวิชแฮมชีส 294 กิโลแคลอรี่ โปรตีน 10.15 กรัม ไขมัน 13.52 กรัม
4. ทอฟฟี่เค้ก 471 กิโลแคลอรี่ โปรตีน 7.24 กรัม ไขมัน 27.92 กรัม
5. บราวนี่ 460 กิโลแคลอรี่ โปรตีน 6.72 กรัม ไขมัน 24.91 กรัม
6. พายทูน่า 340 กิโลแคลอรี่ โปรตีน 6.72 กรัม ไขมัน 19.44 กรัม
7. แยมโรล 419 กิโลแคลอรี่ โปรตีน 6.60 กรัม ไขมัน 26.40 กรัม
8. เอแคลร์ 236 กิโลแคลอรี่ โปรตีน 2.57 กรัม ไขมัน 7.07 กรัม"
ตัวอย่างปริมาณพลังงานของเครื่องดื่มต่อ 1 แก้ว,"โปรตีน, ไขมัน","1. กาแฟเย็นคาปูชิโน่ 274 กิโลแคลอรี่ โปรตีน 11.10 กรัม ไขมัน 35.2 กรัม
2. กาแฟเย็นอเมริกาโน่ 9 กิโลแคลอรี่ โปรตีน 0.00 กรัม ไขมัน 0.00 กรัม
3. กาแฟร้อนคาปูชิโน่ 210 กิโลแคลอรี่ โปรตีน 7.80 กรัม ไขมัน 18.80 กรัม
4. กาแฟร้อนอเมริกาโน่ 10 กิโลแคลอรี่ โปรตีน 0.00 กรัม ไขมัน 0.00 กรัม
5. ชาเขียวนมสด 245 กิโลแคลอรี่ โปรตีน 8.27 กรัม ไขมัน 32.07 กรัม
6. ชาเย็น 215 กิโลแคลอรี่ โปรตีน 7.34 กรัม ไขมัน 26.57 กรัม"
ตัวอย่างปริมาณพลังงาน ประเภทน้ำผลไม้ ต่อ 100 มิลลิลิตร,น้ำตาล,"1. น้ำฝรั่ง 57 กิโลแคลอรี่ น้ำตาล 12.28 กรัม
2. น้ำส้ม 57 กิโลแคลอรี่ น้ำตาล 12.16 กรัม
3. น้ำองุ่น 69 กิโลแคลอรี่ น้ำตาล 13.45 กรัม"
โรคอ้วนลงพุงเกิดจากอะไร,,"- ถ้าไม่กินอาหารเช้านั้น น้ําตาลในเลือดจะต่ําลง สมองจึงสั่งให้กินมื้อถัดไปมาก
ขึ้นเป็นการชดเชย ทําให้อยากกินของหวาน จึงเกิดเป็นไขมันสะสมรอบเอว
- กินเบเกอรี่เป็นประจํา ไขมัน น้ําตาลและครีมเทียมในเบเกอรี่เป็นไขมันทรานส์ (ไขมันชนิดไม่ดี)
ซึ่งเป็นต้นเหตุหลักของไขมันที่พุง ทําให้รอบเอวเกินได้
- ดื่มเครื่องดื่มรสหวาน เครื่องดื่มรสหวานให้สารอาหารน้อย แถมให้พลังงานสูง ส่วนใหญ่มี
ส่วนผสมของน้ําตาลฟรุกโทสที่เป็นอันตรายต่อร่างกายในระยะยาว"
ตัวอย่างพฤติกรรมจากการกินที่เสี่ยงต่อโรคมะเร็ง,,"- กินปิ้งย่างทุกสัปดาห์การเผาไหม้ของไขมันในเนื้อสัตว์ หรือในน้ํามัน ที่หยดลงไปโดนถ่านไฟ
จนทําให้เกิดเป็นควันที่มีพิษ มีสารพีเอเอช (Polycyclic Aromatic Hydrocarbon - PAH)
รวมถึงเครื่องปรุงรสที่อยู่ในเนื้อสัตว์เมื่อถูกความร้อนจะเป็นสารก่อมะเร็งได้ในระยะยาว
- กินอาหารแปรรูป หรืออาหารกึ่งสําเร็จรูป ของหมักดอง เป็นประจํา ล้วนแต่เป็นอาหารที่ไม่ดี
ต่อสุขภาพในระยะยาว เนื่องจากมักมีส่วนประกอบที่ไม่ใช่อาหารตามธรรมชาติ เช่น การเติม
สารให้ความหวาน การแต่งกลิ่น หรือรสสังเคราะห์ หรือสารถนอมอาหาร
- กินของทอดน้ํามันซ้ํา เพราะในน้ํามันที่ทอดซ้ําเกิน 2 ครั้ง ก่อให้เกิดกลุ่มสารโพลาร์ ส่งผลให้
เกิดโรคความดันโลหิตสูงและโรคหลอดเลือดหัวใจตีบได้"
ตัวอย่างพฤติกรรมจากการกินที่เสี่ยงต่อโรคความดันโลหิตสูง,,"- ชอบกินรสเค็ม รสเค็มเต็มไปด้วยโซเดียม เมื่อเข้าสู่ร่างกาย หากมีความเข้มข้นของโซเดียม
ในหลอดเลือดมากจะทําให้มีการดูดน้ํากลับเข้าหลอดเลือด เกิดแรงดันเพิ่มมากขึ้น ทําให้
ความดันโลหิตสูงขึ้น
- กินอาหารฟาสต์ฟู้ดเป็นประจํา เช่น มันฝรั่งทอดกรอบ พิซซ่า ไก่ทอด จะทําให้ไขมัน
เกาะอยู่ตามผนังหลอดเลือดจนหนา หัวใจจึงต้องทํางานหนักในการสูบฉีดเลือด นําไปสู่
โรคความดันโลหิตสูงได้"
ตัวอย่างพฤติกรรมจากการกินที่เสี่ยงต่อโรคหลอดเลือดสมองและหัวใจ,,"- กินอาหารไขมันสูง ก่อให้เกิดไขมันอุดตันในเส้นเลือด หลอดเลือดจะตีบ ทําให้เลือดไปเลี้ยง
กล้ามเนื้อหัวใจได้น้อย เกิดอาการกล้ามเนื้อหัวใจขาดเลือด กล้ามเนื้อหัวใจอาจตายเฉียบพลันได้
- ดื่มแอลกอฮอล์เป็นประจํา สารในแอลกอฮอล์ทุกชนิดมีผลโดยตรงทําให้ผนังหลอดเลือดบาง
ยิ่งกินเพราะความเครียดจะยิ่งส่งผลให้เส้นเลือดในสมองแตกเฉียบพลันได้"
ตัวอย่างพฤติกรรมจากการกินที่เสี่ยงต่อโรคเบาหวาน,,"- ติดรสหวาน น้ําตาลตกค้างในกระแสเลือดมากเกินไป เป็นสาเหตุของโรคเบาหวาน
- ชอบกินอาหารไขมันสูง หากร่างกายสะสมไขมันส่วนเกินไว้มาก เผาผลาญไม่หมด จะทําให้เซลล์
ดื้อต่ออินซูลิน
- สูบบุหรี่สารในบุหรี่ทําให้การทํางานของอินซูลินที่ทําหน้าที่ดูดซับน้ําตาลไปใช้ลดลง
- ดื่มเหล้า - เบียร์เซลล์ตับอ่อนอาจระคายเคืองจนอักเสบ สร้างอินซูลินได้ลดลง"
คำนวณค่า BMI สำหรับคนที่ความสูง 175 เซนติเมตร และน้ำหนัก 70 กิโลกรัม,,ค่า BMI ของคนที่มีความสูง 175 เซนติเมตรและน้ำหนัก 70 กิโลกรัม เท่ากับ 22.86
คำนวณค่าดัชนีมวลกาย (BMI) จากน้ำหนัก 65 กิโลแกรม และส่วนสูง 170 เซนติเมตร,,"ค่าดัชนีมวลกาย (BMI) คือ น้ำหนักหารด้วยความสูงยกกำลังสอง (น้ำหนัก / (ความสูง xความสูง)) 
สำหรับน้ำหนัก 65 กิโลแกรม และความสูง 170 เซนติเมตร คำนวณได้ดังนี้: 65 / (1.70 * 1.70) = 22.49"
คำนวณค่า BMI,"น้ำหนัก: 70 กิโลเเกรม, ส่วนสูง: 175 เซนติเมตร",BMI = 70 / (1.75 * 1.75) = 22.86
อาหารที่ให้โปรตีนแทนเนื้อสัตว์,,"ปริมาณบริโภคที่ให้คุณค่าทางอาหาร เท่ากับเนื้อสัตว์ 1 ช้อนกินข้าว
- ไข่ ครึ่งฟอง
- ถั่วเมล็ดแห้ง 1 ช้อนกินข้าว
- เต้าหู้แข็ง 2 ช้อนกินข้าว
- เต้าหูอ่อน 6 ช้อนกินข้าว
- นมถั่วเหลือง 1 กล่อง"
ปริมาณข้าวสวยที่ควรกินแต่ละมื้อ,,3 - 5 ทัพพี
อาหารที่มีแคลเซียม และควรกินวันละเท่าไหร่,,"ตัวอย่างอาหารที่ให้แคลเซียมปริมาณควรบริโภคต่อวัน
- นมสด 2 กล่อง / 400 มล.
- นมผง 10 ช้อนกินข้าว
- โยเกิร์ต 2 ถ้วย
- ปลาเล็กปลาน้อย 4 ช้อนกินข้าว
- เต้าหู้แข็ง 2 ก้อน"
ปริมาณอาหารประเภทแป้ง กินขนาดไหนถึงจะพอดี,,"ปริมาณควรบริโภคต่อมื้อ
- ข้าวสวย 3 - 5 ทัพพี
- ข้าวเหนียว ไม่เกิน 2 ทัพพี
- ขนมจีน 3-4 จับใหญ่
- ขนมปังโฮลวีท 3-4 แผ่น 
- ก๋วยเตี๋ยว ไม่เกิน 4 ทัพพี
- มักกะโรนี สปาเกตตี (ลวก) ไม่เกิน 4 ทัพพี
- ข้าวโพดสุก 3-4 ฝัก
- เผือก ไม่เกิน 4 ทัพพี
- มันเทศต้มสุก ไม่เกิน 8 ทัพพี
- เส้นหมี่ วุ้นเส้น ไม่เกิน 8 ทัพพี"
การกินผลไม้ ควรกินปริมาณเท่าไหร่ต่อมื้อ,,"ปริมาณควรบริโภคต่อมื้อ
- มังคุด 4-7 ผล
- ชมพู่ 2-4 ผลใหญ่
- ส้มเขียวหวาน 2-4 ผลกลาง
- แอปเปิ้ล 1-2 ผลเล็ก
- กล้วยนน้ำว้า 1-2 ผลกลาง
- กล้วยหอม 2 ใน 3 - 1 ผลเล็ก
- ฝรั่ง 1 ใน 2 - 1 ผลกลาง
- มะม่วงสุก 1ใน 2 - 1 ผลกลาง
- มะละกอสุก 6-10 ชิ้นขนาดคำ"
ปริมาณอาหารแนะนำให้บริโภคในแต่ละวัน สำหรับหญิงตั้งครรภ์ อายุ 16 -18 ปี,อายุครรภ์ 1-3 เดือน,"ปริมาณอาหารที่ควรได้รับในแต่ละวัน
- ข้าว - แป้ง 8 ทัพพี
- ผัก 6 ทัพพี
- ผลไม้ 5 ส่วน
- เนื้อสัตว์ 12 ช้อนกินข้าว
- นม 3 แก้ว
- น้ำตาล ไม่เกิน 4 ช้อนชา
- เกลือ ไม่เกิน 1 ช้อนชา"
ปริมาณอาหารแนะนำให้บริโภคในแต่ละวัน สำหรับหญิงตั้งครรภ์ อายุ 16 -18 ปี,อายุครรภ์ 4-9 เดือน,"ปริมาณอาหารที่ควรได้รับในแต่ละวัน
- ข้าว - แป้ง 10 ทัพพี
- ผัก 6 ทัพพี
- ผลไม้ 6 ส่วน
- เนื้อสัตว์ 12 ช้อนกินข้าว
- นม 3 แก้ว
- น้ำตาล ไม่เกิน 5 ช้อนชา
- เกลือ ไม่เกิน 1 ช้อนชา"
ปริมาณอาหารแนะนำให้บริโภคในแต่ละวัน สำหรับหญิงตั้งครรภ์ อายุ 19 -50 ปี,อายุครรภ์ 1-3 เดือน,"ปริมาณอาหารที่ควรได้รับในแต่ละวัน
- ข้าว - แป้ง 6 ทัพพี
- ผัก 6 ทัพพี
- ผลไม้ 5 ส่วน
- เนื้อสัตว์ 12 ช้อนกินข้าว
- นม 2-3 แก้ว
- น้ำตาล ไม่เกิน 4 ช้อนชา
- เกลือ ไม่เกิน 1 ช้อนชา"
ปริมาณอาหารแนะนำให้บริโภคในแต่ละวัน สำหรับหญิงตั้งครรภ์ อายุ 19 -50 ปี,อายุครรภ์ 4-9 เดือน,"ปริมาณอาหารที่ควรได้รับในแต่ละวัน
- ข้าว - แป้ง 9 ทัพพี
- ผัก 6 ทัพพี
- ผลไม้ 6 ส่วน
- เนื้อสัตว์ 12 ช้อนกินข้าว
- นม 2-3 แก้ว
- น้ำตาล ไม่เกิน 5 ช้อนชา
- เกลือ ไม่เกิน 1 ช้อนชา"
คำแนะนำการกินอาหารสำหรับหญิงตั้งครรภ์,,"1. กินอาหารมื้อหลัก ให้ครบ 3 มื้อ เช้า-เที่ยง-เย็น และจะต้องมีอาหารว่างระหว่างมื้อด้วย ซึ่งอาจจะเป็น นมจืด ผลไม้ 
หรือไม่ก็ขนมไทยรสไม่หวานจัดอย่าง เต้าส่วน กล้วยบวชชี ฟักทองแกงบวด ข้าวต้มมัด ข้าวเหนียวถั่วดำ เป็นต้น
2. การกินอาหารประเภทเนื้อสัตว์ ต้องให้มีความหลากหลาย รวมทั้ง ไข่ ถั่วเมล็ดแห้ง และผลิตภัณฑ์โปรตีนจากถั่ว เช่น เต้าหู้ 
3. กินอาหารที่มีธาตุเหล็กสูง อย่าง ตับ เลือด เนื้อแดงของสัตว์ อย่างน้อยสัปดาห์ละ 2-3 ครั้ง 
พร้อมกับกินอาหารที่ให้วิตามินซีสูง เช่น ฝรั่ง มะขามป้อม มะปรางสุก มะละกอสุก ส้ม เป็นต้น 
เพื่อช่วยให้ร่างกายดูดซึมธาตุเหล็กได้มากขึ้น
4. กินอาหารกลุ่มผักและผลไม้ เป็นประจำทุกวัน จะต้องกินให้หลากหลายสีด้วย เช่น สีเหลือง ส้ม แดง เขียวเข้ม ม่วง ขาว
เพื่อให้ร่างกายได้วิตามินและแร่ธาตุ
5. นม แหล่งอาหารแคลเซียมต้องกินเป็นประจำทุกวัน
6. ปรุงอาหารด้วยเกลือ หรือ น้ำปลาเสริมไอโอดีนทุกครั้ง โดยปรุงด้วยเกลือเสริมไอโอดีน ไม่เกินวันละ 1 ช้อนชา 
หรือน้ำปลาเสริมไอโอดีน ไม่เกินวันละ 5 ช้อนชา เพื่อป้องกันโรคขาดสารไอโอดีน"
แนะนำข้อมูลโภชนาการสำหรับเด็กแรกเกิด - 6 เดือน ,,ช่วงอายุ 6 เดือนแรก นมแม่เพียงอย่างเดียว
